name,beads_0,beads_1,beads_2,beads_3,beads_4,beads_5,beads_6,beads_7,sample_a,sample_b
ORF6_0,0.000,0.000,0.001,0.000,0.000,0.004,0.000,0.000,0.000,1.709
ORF6_4,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.529
ORF6_8,0.000,0.000,0.000,0.000,0.000,0.043,0.004,0.109,0.000,0.299
ORF6_12,0.000,0.000,0.000,0.000,0.000,0.022,0.000,0.000,0.000,0.946
ORF6_16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.127
ORF6_20,0.000,0.000,0.000,0.182,0.000,0.284,0.108,0.000,1.509,0.077
ORF6_24,0.000,0.000,0.316,0.018,0.000,0.001,0.000,0.089,0.003,0.211
ORF6_28,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.286
ORF6_32,0.253,0.000,0.000,0.000,0.000,0.021,0.047,0.001,0.116,0.318
ORF6_36,0.000,0.000,0.009,1.562,0.000,0.588,0.000,0.021,0.000,0.161
ORF6_40,0.000,0.000,0.000,0.189,0.000,0.012,0.019,0.004,0.000,1.901
ORF6_44,0.000,0.000,0.000,0.029,0.000,0.034,0.000,0.000,0.003,0.558
ORF6_48,0.000,0.000,0.000,0.000,0.000,0.316,1.852,0.000,0.205,1.210
ORF6_52,7.963,1.342,3.354,0.000,5.335,0.202,1.342,0.066,0.164,0.268
ORF6_56,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.216
ORF7b_0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.215
ORF7b_4,0.000,0.000,0.094,0.947,0.000,0.004,0.000,0.000,0.000,1.219
ORF7b_8,0.000,0.000,0.000,0.061,0.000,0.002,0.000,0.000,0.002,0.305
ORF7b_12,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000,100.000,0.219
ORF7b_16,0.000,0.000,0.018,0.046,0.000,0.031,0.000,0.000,100.000,1.108
ORF7b_20,0.000,0.000,0.000,1.283,0.000,0.588,0.053,0.000,100.000,0.523
ORF7b_24,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
ORF7b_28,0.000,0.000,0.000,0.000,0.000,0.100,0.335,0.000,0.134,1.016
ORF7b_32,0.000,0.000,0.000,0.000,0.000,0.008,0.026,0.000,0.000,1.069
ORF7b_36,0.000,0.000,0.000,0.000,0.000,0.203,0.000,0.000,0.117,0.323
ORF7b_40,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
ORF8_0,0.000,0.000,0.000,0.000,0.000,0.644,0.000,0.000,0.149,0.208
ORF8_4,0.000,0.000,0.009,0.018,0.000,0.655,0.002,0.000,0.005,0.885
ORF8_8,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.149
ORF8_12,0.000,0.000,0.000,0.000,0.000,0.294,0.001,0.000,0.000,1.216
ORF8_16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.766
ORF8_20,0.000,0.000,0.009,0.377,0.000,0.025,0.000,0.007,0.000,0.373
ORF8_24,0.000,0.000,0.000,0.000,0.000,0.000,0.155,0.000,0.000,1.753
ORF8_28,0.000,0.000,0.000,0.189,0.000,0.091,0.000,0.000,0.000,1.822
ORF8_32,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.480
ORF8_36,0.000,0.000,0.000,0.000,0.000,0.598,0.001,0.000,0.136,0.064
ORF8_40,0.000,0.000,0.000,0.002,0.000,0.842,0.000,0.000,0.008,0.080
ORF8_44,0.000,0.000,0.000,0.000,0.000,0.021,0.002,0.000,0.000,0.972
ORF8_48,0.000,0.000,0.000,0.377,0.000,0.005,0.000,0.000,0.000,1.170
ORF8_52,0.000,0.000,0.000,0.781,0.000,0.589,0.000,0.000,0.000,2.492
ORF8_56,0.000,0.000,0.011,0.000,0.000,0.053,0.154,0.000,0.234,2.844
ORF8_60,0.000,0.000,0.018,0.046,0.000,0.037,0.000,0.000,0.000,0.416
ORF8_64,0.000,0.000,0.000,0.002,0.000,0.108,0.209,0.000,0.105,0.337
ORF8_68,0.000,0.000,0.000,0.000,0.000,1.042,0.020,0.000,0.215,0.354
ORF8_72,0.000,0.492,0.078,0.008,0.000,0.700,0.115,0.043,0.003,0.790
ORF8_76,0.000,0.000,0.000,0.001,0.000,1.467,0.155,0.001,0.000,0.360
ORF8_80,1.061,1.342,0.066,0.000,0.066,0.071,1.342,0.566,0.003,0.416
ORF8_84,0.000,0.000,0.000,0.189,0.000,0.421,0.002,0.000,0.000,0.835
ORF8_88,0.000,0.000,0.000,0.000,0.000,0.037,0.000,0.000,0.015,0.948
ORF8_92,0.000,0.000,0.000,0.000,0.000,0.403,0.635,0.000,0.005,0.683
ORF8_96,0.000,0.000,0.000,0.037,0.000,0.003,0.004,0.000,0.000,1.942
ORF8_100,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
ORF8_104,0.002,0.000,0.000,0.094,0.000,0.590,0.000,0.000,0.000,0.835
ORF8_108,1.061,3.354,0.820,0.000,0.066,0.748,1.342,0.566,0.017,0.416
ORF8_112,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.001,0.462
